"Revenue","Currency","Date"
"100.50","USD","2024-06-21"
"75.20","EUR","2024-06-22"
"150.75","GBP","2024-06-23"
"120.80","USD","2024-06-24"
"85.60","EUR","2024-06-25"
"110.25","USD","2024-06-26"
"95.40","GBP","2024-06-27"
"130.70","USD","2024-06-28"
"70.90","EUR","2024-06-29"
"180.25","GBP","2024-06-30"
"112.30","USD","2024-07-01"
"88.45","EUR","2024-07-02"
"145.60","GBP","2024-07-03"
"122.80","USD","2024-07-04"
"65.75","EUR","2024-07-05"
"155.90","GBP","2024-07-06"
"135.20","USD","2024-07-07"
"80.30","EUR","2024-07-08"
"170.40","GBP","2024-07-09"
"102.70","USD","2024-07-10"
"95.60","EUR","2024-07-11"
"160.80","GBP","2024-07-12"
"125.90","USD","2024-07-13"
"75.20","EUR","2024-07-14"
"140.50","GBP","2024-07-15"
"142.60","USD","2024-07-16"
"82.40","EUR","2024-07-17"
"165.30","GBP","2024-07-18"
"132.50","USD","2024-07-19"
"90.70","EUR","2024-07-20"
"175.60","GBP","2024-07-21"
"115.80","USD","2024-07-22"
"78.90","EUR","2024-07-23"
"148.20","GBP","2024-07-24"
"128.50","USD","2024-07-25"
"72.10","EUR","2024-07-26"
"158.40","GBP","2024-07-27"
"140.75","USD","2024-07-28"
"85.20","EUR","2024-07-29"
"185.90","GBP","2024-07-30"
"120.30","USD","2024-07-31"
"95.80","EUR","2024-08-01"
"170.20","GBP","2024-08-02"
"110.40","USD","2024-08-03"
"80.60","EUR","2024-08-04"
"155.70","GBP","2024-08-05"
"132.90","USD","2024-08-06"
"92.10","EUR","2024-08-07"
"175.40","GBP","2024-08-08"
"125.60","USD","2024-08-09"
"78.50","EUR","2024-08-10"
"148.90","GBP","2024-08-11"
"138.20","USD","2024-08-12"
"88.70","EUR","2024-08-13"
"162.80","GBP","2024-08-14"
"129.40","USD","2024-08-15"
"74.80","EUR","2024-08-16"
"152.50","GBP","2024-08-17"
"145.60","USD","2024-08-18"
"82.30","EUR","2024-08-19"
"168.90","GBP","2024-08-20"
"135.70","USD","2024-08-21"
"90.50","EUR","2024-08-22"
"180.60","GBP","2024-08-23"
"118.80","USD","2024-08-24"
"76.90","EUR","2024-08-25"
"142.30","GBP","2024-08-26"
"125.10","USD","2024-08-27"
"72.40","EUR","2024-08-28"
"158.10","GBP","2024-08-29"
"142.40","USD","2024-08-30"
"84.70","EUR","2024-08-31"
"172.30","GBP","2024-09-01"
"105.60","USD","2024-09-02"
"94.20","EUR","2024-09-03"
"165.90","GBP","2024-09-04"
"132.70","USD","2024-09-05"
"87.80","EUR","2024-09-06"
"182.40","GBP","2024-09-07"
"120.90","USD","2024-09-08"
"79.30","EUR","2024-09-09"
"148.60","GBP","2024-09-10"
"138.50","USD","2024-09-11"
"92.70","EUR","2024-09-12"
"160.20","GBP","2024-09-13"
"127.80","USD","2024-09-14"
"76.50","EUR","2024-09-15"
"155.10","GBP","2024-09-16"
"143.20","USD","2024-09-17"
"84.60","EUR","2024-09-18"
"170.70","GBP","2024-09-19"
"112.40","USD","2024-09-20"
"70.80","EUR","2024-09-21"
"148.90","GBP","2024-09-22"
"130.60","USD","2024-09-23"
"78.20","EUR","2024-09-24"
"162.30","GBP","2024-09-25"
"137.50","USD","2024-09-26"
"85.90","EUR","2024-09-27"
"178.10","GBP","2024-09-28"
"115.20","USD","2024-09-29"
"72.70","EUR","2024-09-30"
"152.80","GBP","2024-10-01"
"142.10","USD","2024-10-02"
"89.40","EUR","2024-10-03"
"168.20","GBP","2024-10-04"
"127.30","USD","2024-10-05"
"80.50","EUR","2024-10-06"
"155.40","GBP","2024-10-07"
"135.80","USD","2024-10-08"
"92.60","EUR","2024-10-09"
"182.50","GBP","2024-10-10"
"118.70","USD","2024-10-11"
"76.80","EUR","2024-10-12"
"148.30","GBP","2024-10-13"
"129.50","USD","2024-10-14"
"85.70","EUR","2024-10-15"
"162.70","GBP","2024-10-16"
"142.30","USD","2024-10-17"
"78.90","EUR","2024-10-18"
"168.10","GBP","2024-10-19"
"135.40","USD","2024-10-20"
"92.30","EUR","2024-10-21"
"175.20","GBP","2024-10-22"
"113.60","USD","2024-10-23"
"72.20","EUR","2024-10-24"
"155.90","GBP","2024-10-25"
"132.10","USD","2024-10-26"
"85.30","EUR","2024-10-27"
"162.40","GBP","2024-10-28"
"140.80","USD","2024-10-29"
"78.60","EUR","2024-10-30"
"172.90","GBP","2024-10-31"
