"Revenue","Adjusted Value","Real Value","Profit","Currency","Date"
"110.20","105.50","108.90","15.30","USD","2024-06-21"
"85.10","81.20","83.50","12.30","EUR","2024-06-22"
"170.50","163.80","168.20","21.50","GBP","2024-06-23"
"118.80","113.70","117.10","16.40","USD","2024-06-24"
"92.70","88.40","91.20","11.50","EUR","2024-06-25"
"120.40","115.50","119.10","13.70","USD","2024-06-26"
"105.70","100.80","104.20","14.20","GBP","2024-06-27"
"140.20","134.20","138.50","18.30","USD","2024-06-28"
"75.80","72.20","74.50","9.80","EUR","2024-06-29"
"190.20","182.50","188.20","24.50","GBP","2024-06-30"
"122.30","117.20","120.50","15.80","USD","2024-07-01"
"98.10","93.60","96.80","12.10","EUR","2024-07-02"
"160.60","154.10","158.50","20.60","GBP","2024-07-03"
"135.70","129.80","133.10","17.20","USD","2024-07-04"
"72.50","69.20","71.80","9.50","EUR","2024-07-05"
"155.80","149.70","154.00","19.80","GBP","2024-07-06"
"145.40","139.10","143.40","18.60","USD","2024-07-07"
"88.90","84.70","87.10","11.80","EUR","2024-07-08"
"180.50","172.90","178.30","23.20","GBP","2024-07-09"
"112.30","107.40","110.60","14.70","USD","2024-07-10"
"102.60","98.20","101.50","13.40","EUR","2024-07-11"
"158.70","152.20","156.50","20.10","GBP","2024-07-12"
"130.60","124.90","128.20","16.30","USD","2024-07-13"
"75.20","71.80","74.10","9.20","EUR","2024-07-14"
"145.10","139.20","143.60","18.20","GBP","2024-07-15"
"152.40","146.10","150.30","19.50","USD","2024-07-16"
"92.10","87.90","90.20","11.70","EUR","2024-07-17"
"185.80","178.10","183.50","23.40","GBP","2024-07-18"
"128.50","123.10","126.70","16.80","USD","2024-07-19"
"78.60","74.90","77.30","10.20","EUR","2024-07-20"
"170.70","163.40","168.70","22.10","GBP","2024-07-21"
"140.90","134.80","139.10","18.20","USD","2024-07-22"
"85.60","81.60","84.00","11.10","EUR","2024-07-23"
"165.30","158.40","163.00","21.20","GBP","2024-07-24"
"128.10","122.60","126.30","16.70","USD","2024-07-25"
"77.90","74.20","76.60","10.10","EUR","2024-07-26"
"152.60","146.30","150.60","19.70","GBP","2024-07-27"
"150.10","143.80","148.00","19.20","USD","2024-07-28"
"92.80","88.40","91.10","11.90","EUR","2024-07-29"
"175.20","167.90","173.30","22.60","GBP","2024-07-30"
"120.50","115.00","118.60","15.30","USD","2024-07-31"
"98.20","93.70","96.90","12.40","EUR","2024-08-01"
"173.20","165.80","171.10","22.80","GBP","2024-08-02"
"112.90","107.90","111.20","14.60","USD","2024-08-03"
"84.80","80.80","83.20","10.80","EUR","2024-08-04"
"158.90","152.20","157.00","20.80","GBP","2024-08-05"
"132.40","126.30","130.60","17.30","USD","2024-08-06"
"80.20","76.30","78.60","10.10","EUR","2024-08-07"
"168.10","161.20","166.00","21.40","GBP","2024-08-08"
"123.40","118.00","121.70","15.90","USD","2024-08-09"
"76.40","72.80","75.10","9.60","EUR","2024-08-10"
